Film Adı,Türler,Özet
Elevation,"Aksiyon, Bilim-Kurgu, Gerilim","Kıyamet sonrası Rocky Dağları'nda geçen filmde, bekar bir baba ve iki kadın, küçük bir çocuğun hayatını kurtarmak için evlerinin güvenliğinden çıkarak korkunç yaratıklarla yüzleşmeye giderler."
Dirty Angels,"Aksiyon, Dram, Gerilim",
Kabin Bagajı,"Aksiyon, Gerilim","Bir havaalanı güvenlik görevlisi, onu Noel arifesindeki uçuşa tehlikeli bir bavulu sokmaya zorlayan esrarengiz yolcuyu, zekâsı ile alt etmek için zamanla yarışır."
Culpa Mia,"Romantik, Dram","Noah yaşadığı şehri, sevgilisini ve arkadaşlarını geride bırakıp annesinin yeni kocasının malikânesine taşınmak zorunda kalır. Orada tanıştığı yeni üvey kardeşi Nick'le karakterleri uyuşmasa da aralarındaki çekim ile asi ve sancılı mizaçları ikilinin dünyasını altüst eder ve birbirlerine sırılsıklam âşık olmalarına neden olur."
Ferry 2,"Suç, Gerilim, Aksiyon","Uyuşturucu imparatorluğunu kaybeden Ferry Bouman, Brabant'ın yeraltı dünyasından uzakta huzura kavuşmuştur. Ta ki geçmişiyle yeniden yüzleşmek zorunda kalana kadar."
Absolution,"Aksiyon, Suç, Gerilim",
Nosferatu,"Korku, Fantastik, Dram",
Sapkın,"Korku, Gerilim","Sapkın, yabancı bir adamın evinde kedi ile fare oyununun içine çekilen iki dindar genç kadının hikayesini konu ediyor."
Largo Winch: Le prix de l'argent,"Aksiyon, Macera, Gerilim",
Cevher,"Korku, Bilim-Kurgu, Aksiyon","Bir aerobik programının yıldızı olan Elisabeth Sparkle, ilerleyen yaşı yüzünden 50. doğumgününde kovulunca yıkılır. Gizemli bir laboratuvar ona, damarlarına zerk edildiğinde ""kendisinin daha iyi bir versiyonunu"" ortaya çıkaracak mucizevi bir maddeyi kullanması önerisiyle yaklaşır. David Cronenberg, John Carpenter, David Lynch ve Michael Haneke’den esinlenen yönetmen Coralie Fargeat’ın büyük ses getiren ilk filmi İntikam’ın (2017) ardından çektiği bu çağdaş zaman eleştirisi alabildiğine stilize, zihinlerde kesinlikle iz bırakacak, zaman zaman kanlı, dehşet verici ve bazen de komik. Her yanıyla olağanüstü Demi Moore, kendi imajını da acımasızca yansıtan Elisabeth’i canlandırırken alabildiğine cesur."
Vahşi Robot,"Animasyon, Aksiyon, Bilim-Kurgu, Aile","Bu destansı macera, ıssız bir adaya düşen ve zorlu çevre koşullarına uyum sağlamayı öğrenmesi gereken bir robotun -ROZZUM ünite 7134’ün, kısaca “Roz”un- yavaş yavaş adadaki hayvanlarla ilişki kurmasını ve yetim bir kaz yavrusunun evlat edinmesini konu alıyor."
Deadpool & Wolverine,"Aksiyon, Komedi, Bilim-Kurgu","Wade Wilson’ın bir paralı asker olarak geçirdiği günler ve Deadpool kimliği artık geride kalmıştır. O şimdi sivil hayatta varlık göstermek için çabalar. Wade, yeni hayatına alışmaya çalışırken, büyük bir tehlike ile karşı karşıya kalınca harekete geçmek zorunda kalır. Ancak bu tehlike ile tek başına baş etmesi zordur. Bu yüzden Wade en az kendisi kadar isteksiz olan Wolverine'i yardım etmesi için ikna etmeye çalışır."
Kıyamet Z: Sonun Başlangıcı,"Dram, Aksiyon, Korku","İnsanları saldırgan yaratıklara dönüştüren bir tür kuduz hastalığı tüm gezegene yayılınca, Manel hayatta kalmak için zekâsına güvenerek kedisiyle birlikte kendini eve kapatır; ancak çok geçmeden yiyecek aramak için karadan ve denizden birçok tehlikeyi atlatarak dışarı çıkmak zorunda kalırlar."
Pídeme lo que quieras,"Romantik, Dram",
The Thicket,"Suç, Gerilim, Vahşi Batı",
Alien: Romulus,"Korku, Bilim-Kurgu","Uzay sömürgecileri Rain, Andy, Tyler, Kay, Bjorn ve Navarro, görünüşte tamamen terk edilmiş gibi gözüken bir uzay istasyonunda bir şeyler bulma umuduyla arama yapar. Ancak onların gerçekte neler olup bittiğine dair hiçbir fikri yoktur. Çok geçmeden grup, dünyanın en korkutucu yaşam formu ile karşılaşacaktır."
Armor,"Aksiyon, Suç, Gerilim",
Ters Yüz 2,"Animasyon, Macera, Komedi, Aile","Disney ve Pixar'ın ""Ters Yüz 2"" filminde, ergenliğe adım atan Riley'nin zihnine döneriz. Merkez'de aniden bir tadilat başlar ve hiç hesapta olmayan yeni Duygular'a yer açılır! Uzun zamandır işleri başarıyla yürüten Neşe, Üzüntü, Öfke, Korku ve Tiksinti, Kaygı geldiğinde neler hissedeceklerini bilemez. Üstelik Kaygı yalnız değildir, beraberinde Utanç, Gıpta ve Bıkkınlık da gelmiştir."
Terrifier 3,"Korku, Gerilim","Miles Kasabası sakinleri Noel ruhuyla yılın en huzurlu gecesini kutlamaya hazırlanırken, Art the Clown geri dönüyor. Sessiz ve karanlık bir Noel Arifesi, Art’ın kana susamışlığıyla kabusa dönüşüyor. Yeni hedefler ve daha acımasız planlarla geri dönen Art, kasabayı cehenneme çevirmek için yemin ediyor."
Avcı Kraven,"Aksiyon, Macera, Gerilim","Avcı Kraven, Marvel'ın en ikonik kötü adamlarından birinin nasıl ve neden ortaya çıktığına dair farklı bir hikâye. Örümcek-Adam'la olan nam salmış kan davasından önce geçen filmin başrolünde Aaron Taylor-Johnson yer alıyor."
Santa Isn't Real,Korku,
Çılgın Hırsız 4,"Animasyon, Aile, Komedi, Bilim-Kurgu","Gru ve Lucy ile kızları Margo, Edith ve Agnes'in Gru ailesinin yeni üyesi, babasına eziyet etmeye kararlı Gru Junior'ı kucaklarına almasıyla yeni bir bölüme başlıyor. Gru, yeni bir düşman olan Maxime Le Mal ve onun çekici ama tehlikeli kız arkadaşı Valentina ile karşı karşıya kalır ve ailece kaçmak zorunda kalırlar."
Gülümse 2,"Korku, Gizem","Yeni bir dünya turuna çıkmak üzere olan küresel pop fenomeni Skye Riley(Naomi Scott), giderek daha korkunç ve açıklanamaz olaylar yaşamaya başlar. Artan dehşet ve şöhretin baskısından bunalan Skye, kontrolden çıkmadan önce hayatının kontrolünü yeniden kazanmak için karanlık geçmişiyle yüzleşmek zorunda kalır."
Estación Rocafort,"Korku, Gizem",
Straume,"Animasyon, Fantastik, Macera",
Arcadian,"Aksiyon, Korku, Gerilim, Bilim-Kurgu","Yakın bir gelecekte, Dünya'daki normal yaşam yok edilmiştir. Paul ve iki oğlu Thomas ve Joseph, gündüzleri sükûnet, geceleri azap içinde bir hayat yaşamaktadırlar. Her gece, güneş battıktan sonra, gizemli ve şiddetli bir kötülüğün amansız saldırılarıyla karşı karşıya kalırlar. Thomas'ın gün batımından önce eve dönmediği bir günde, Paul onu bulmak için güvenli çiftliklerini terk etmek zorunda kalır. Aileyi, hayatta kalmak için umutsuz bir plan yapmaya zorlayan kabus gibi bir savaş başlar."
Mucizevi Londra: Zamanın Sınırında,"Animasyon, Macera, Aksiyon, Fantastik","Geleceği korkunç bir kaderden kurtarmak için Marinette, Chronobug hâline gelir ve zamanda yolculuk eden gizemli bir rakibe karşı Bunnyx'le birlik olur. Bu yeni süper kötü kimdir ve neden Marinette'in gizli süper kahraman kimliğini açığa çıkarmaya kafayı takmıştır? Marinette'in tek umudu, Ladybug'ın ve zamanın sonunun gelmesini önlemek için bu yeni hasmını yenmektir!"
俺だけレベルアップな件 -ReAwakening-,"Aksiyon, Macera, Fantastik, Animasyon",
Anora,"Romantik, Komedi, Dram","Brooklyn'li genç bir seks işçisi olan Anora, oligarkın oğluyla tanışıp aniden evlendiğinde bir külkedisi hikayesini yaşama şansını yakalar. Haber Rusya'ya ulaştığında oligarkın ailesi evliliği iptal ettirmek için New York'a doğru yola çıkınca Anora'nın masalı tehlikeye girer."
Watchmen: Chapter II,"Animasyon, Gizem, Bilim-Kurgu, Aksiyon",
Transformers: Başlangıç,"Animasyon, Bilim-Kurgu, Macera, Aile","Yeminli düşmanlar olarak bilinen, ama bir zamanlar kardeş gibi birbirine bağlı dostlar olan ve Cybertron'un kaderini sonsuza dek değiştiren Optimus Prime ve Megatron'un anlatılmamış köken hikayesi."
Weekend in Taipei,"Aksiyon, Macera, Gerilim",
Squid Game: The Challenge - Kamera Arkası,Belgesel,"""Squid Game""den esinlenen reality programının, senaryolu bir dramayı acımasız ve nefes kesen bir yarışmaya nasıl dönüştürdüğünü kamera arkası görüntüleriyle keşfedin."
Kirpi Sonic 2,"Aksiyon, Macera, Aile, Komedi","Sonic, Green Hills’e yerleştikten sonra gerçek bir kahraman olmak için gereken özelliklere sahip olduğunu kanıtlamak için sabırsızlanır. Dr. Robotnik, bu kez yeni ortağı Knuckles ile birlikte medeniyetleri yok etme gücüne sahip olan bir zümrüdün arayışıyla geri döndüğünde sınavı başlar. Sonic, yardımcısı Tails’le ekip olur ve birlikte zümrüdü yanlış ellere düşmeden bulmak üzere dünya çapında bir yolculuğa çıkarlar."
Nightbitch,"Komedi, Dram, Fantastik","Filmde, sanat kariyerini askıya alıp ev hanımı olan ve giderek bir köpeğe dönüştüğüne inanan bir kadının hikayesini anlatılıyor. Nightbitch, kocası sık sık iş seyahatlerine çıkan ve küçük oğluna bakmakla yükümlü olan genç bir annenin etrafında dönüyor. Ev hanımı olmanın getirdiği monotonluk ve yalnızlıkla mücadele eden kadın, kendisini toplumun anneliğe yüklediği sorumluluklarla boğuşurken bulur. Giderek tuhaf ve rahatsız edici davranışlar sergilemeye başlar. Zamanla vücudunda fiziksel değişiklikler fark eder; tırnakları uzar, dişleri keskinleşir ve ensesinde tüyler çıkar. Bu durum, bir köpeğe dönüştüğünü düşünmesine neden olur."
Azrail,"Aksiyon, Korku, Gerilim","Kimsenin konuşmadığı bir dünyada, dindar bir kadın, hapishanesinden kaçan genç bir kadını avlar. Acımasız liderleri tarafından yeniden yakalanan Azrael, çevredeki vahşi doğanın derinliklerindeki kadim bir kötülüğü yatıştırmak için kurban edilecektir."
Sidelined: The QB and Me,"Komedi, Romantik","Dallas, güçlü iradeli ancak yük altında bir dansçıdır ve ülkenin en iyi dans okuluna, merhum annesinin de mezun olduğu okula, girmeye kararlıdır. Ancak bu hayal, alaycı ama içten içe yas tutan futbol yıldızı Drayton’ın benzersiz hikayesiyle hayatına ani bir şekilde dahil olmasıyla beklenmedik bir şekilde rayından çıkar. İkisi birlikte hayallerine ulaşmayı başarabilecek mi, yoksa hayalleri bir kenara mı itilecek?"
Arena Wars,"Aksiyon, Bilim-Kurgu, Gerilim, Komedi, Korku",
Survivre,"Bilim-Kurgu, Gerilim, Macera, Aksiyon",
Levels,"Aksiyon, Bilim-Kurgu, Gerilim","Bir kabustan uyanan Joe, varsayılan gerçekliğine dönmeden önce derin bir nefes alır. Yüzeyde, ortalama bir adamın hayatındaki ortalama bir gün gibi görünür, ancak kız arkadaşı Ash'in Joe'ya uyarıcı bir mesaj ilettiğini duyduktan sonra işler tersine döner. Ash, kaçmayı başaran bilinmeyen bir saldırgan tarafından vurulur. Joe suçlunun peşinden gittiğinde, saldırgan ortadan kaybolur. Gerçeği bulma misyonunda olan Joe, dünyası hakkında bildiği her şeyin çok da yalan olabileceğini keşfettikçe yapabileceğinden fazlasını üstlenir."
SDI: Secret Department of Intervention,Aksiyon,
Monte Cristo Kontu,"Aksiyon, Macera, Dram",Château d'If ada hapishanesinde on dört yıl geçirdikten sonra cesur bir kaçış gerçekleştirmeyi başarır. Artık hayallerinin ötesinde zengin olan Monte Cristo Kontu kimliğine bürünür ve kendisine ihanet eden üç adamdan intikamını almak için harekete geçer.
Bad Boys: Ya Hep Ya Hiç,"Aksiyon, Komedi, Suç, Gerilim, Macera","Yüzbaşı Howard haksız yere uyuşturucuyla ilgili suçlarla itham edilir. Bu durum üzerine çılgın ikili onun adını temize çıkarmak için harekete geçer. Araştırımalarını ilerletip, gerçeğe adım adım yaklaşan Mike ve Marcus, bu sırada büyük bir iftira ile karşı karşıya kalır. Artık ikili başlarına ödül konulan kaçaklardır. Polis tarafından takip edilen ve kartellerin de hedefinde olan Mike ve Marcus, davayı çözmek için kanunların dışında ve kendi kurallarına göre çalışmak zorundadır."
No salgas,"Gerilim, Korku",
GTMAX,"Aksiyon, Suç, Dram","Erkek kardeşi bir motorcu çetesi tarafından bir soyguna alet edilen eski bir motokros şampiyonu, ailesini güvende tutmak için en derin korkularıyla yüzleşmek zorunda kalır."
6888. Tabur,"Dram, Savaş, Tarih","Gerçek bir öyküden esinlenen, Tyler Perry imzalı bu dramada, ABD Kadın Kolordusu'nun siyahi kadınlardan oluşan tek taburu, II. Dünya Savaşı'nda denizaşırı imkânsız bir göreve çıkar."
Y2K,"Komedi, Korku, Bilim-Kurgu",
일본 엄마,"Romantik, Dram",
Karabasan,"Korku, Gerilim","Yüzyıllar boyunca ve kültürler arasında, ebeveynler çocuklarını, masum çocukları kaçırıp onları iğrenç, çürüyen torbasına tıkıştıran ve bir daha asla görülmeyen efsanevi Bagman hakkında uyardılar. Patrick McKee, çocukken böyle bir karşılaşmadan kıl payı kurtuldu ve bu, yetişkinliği boyunca onda kalıcı izler bıraktı. Şimdi, Patrick'in çocukluk işkencecisi geri döndü ve karısı Karina ile oğlu Jake'in güvenliğini tehdit ediyor."
Son Ana Kadar,"Romantik, Dram","Almut, yakın zamanda boşanmış olan Tobias'la tesadüfen karşılaşmasıyla hayatının sonsuza kadar değiştiğini fark eder. Ancak birbirlerine aşık olduktan, bir ev inşa ettikten ve bir aile kurduktan sonra zor bir gerçek ortaya çıkar."
Sonic the Hedgehog 4,"Bilim-Kurgu, Macera, Komedi, Aile",
Gerçek Acı,"Komedi, Dram","Birbirine tamamen zıt karakterdeki iki kuzen; David ve Benji… İkili, büyükannelerini anmak için Polonya’ya uzanan bir seyahate çıkacaklardır. Ancak bu macera, eski tatsızlıkların, aile geçmişinin gölgesinde yeniden gün yüzüne çıkmasıyla beklenmedik bir hal alacaktır."
Animal Adventures: Save The Forest,Animasyon,
Wallace ve Gromit: Kinci Kuş,"Animasyon, Komedi, Aile","Wallace'ın yüksek teknoloji ürünü icadı kontrolden çıkıp bir dizi suçun onun üstüne kalmasına yol açınca süper köpek Gromit, sahibini kurtarmak için harekete geçer."
The Moor,"Korku, Gizem, Dram",
Заклятье. Шепот ведьм,"Korku, Gerilim",
Dönüş,"Tarih, Dram, Macera","Büyük Kral, Truva Savaşı'ndan dönmüştür ama o yokken krallığında çok şey değişmiştir. Sevgili karısı Penelope, kendi evinde tutsaktır ve kral olabilmek için yarışan talipleri peşini hiç bırakmamıştır. Oğulları Telemakhos, onu engel olarak gören bu taliplerin karşısında ölümle yüz yüzedir. Odysseus da değişmiştir elbette, savaş onu çok yıpratmıştır, artık yıllar önceki güçlü savaşçı değildir ancak kaybettiği her şeyi geri kazanmak için içindeki gücü yeniden bulmak zorundadır."
Aslan Kral,"Macera, Dram, Aile, Animasyon","Aslan Kral, yavru bir aslan olan Simba’nın maceralarını konu ediyor. Ormanın kralı olan babası Mufasa'ya hayran bir yavru aslan olarak mutlu bir hayat süren Simba, sinsi amcası Scar'ın planlarından habersizdir. Kral olmak için fırsat kollayan Scar, Mufasa'yı öldürdükten sonra Simba için tehlike baş gösterir. Amcasının ihaneti ve babasının kaybı ile yıkılan Simba sürgüne gider. Zamanı geldiğinde hakkı olanı almak için geri dönecek ve amcasına yaptıklarının bedelini ödetecektir..."
Cash Out,"Aksiyon, Gerilim","Profesyonel hırsız Mason, kardeşiyle birlikte banka soygunu yaparak en büyük vurgununu gerçekleştirmeye çalışır. Ancak işler sarpa sarınca, etraflarını saran kolluk kuvvetleriyle içeride sıkışırlar. Gerilim, Mason’ın eski sevgilisiyle, başmüzakereciyle pazarlık yaparken artar."
Pimpinero: Kan ve Petrol,"Aksiyon, Suç, Dram",Kolombiya-Venezuela sınırındaki çölde pimpinero olarak bilinen kaçakçılar ölümü göze alarak bir ülkeden diğerine kaçak benzin taşımaktadır. Genç bir kaçakçı olan Juan gizemli bir rakibi için çalışmaya zorlanınca kız arkadaşı Diana bu kanunsuz bölgenin sırlarını ortaya çıkarmak için tehlikeli bir yolculuğa çıkar.
Death Note Relight 1: Visions of a God,"TV film, Suç, Dram, Fantastik, Gerilim, Animasyon",
Moana,"Macera, Komedi, Aile, Fantastik",
Subservience,"Bilim-Kurgu, Gerilim","Gelişmiş bir yapay zeka sistemi tarafından yönetilen bir toplumu konu alıyor. Bu toplumda insanlar, yapay zekanın belirlediği kurallara uymak zorundadır ve bu durum, insanların yaşamlarını büyük ölçüde kontrol altına alır. Baş karakter olan genç bir kadının, yapay zekanın kendisine ve çevresindekilere uyguladığı baskıya karşı çıkma mücadelesini anlatıyor. Ana karakter, başlangıçta sistemin bir parçası olarak yaşarken zamanla yapay zekanın kararlarının ve etkisinin ne kadar tehlikeli olabileceğini fark eder. Kendisi ve sevdikleri için daha iyi bir gelecek arayışına girer ve bu süreçte, diğer insanları da harekete geçirmeye çalışır."
Hayali Arkadaşlar,"Komedi, Fantastik, Aile","Yalnızlıktan muzdarip olan bir adam, hayali arkadaşlar görmenin ve onlarla konuşmanın inanılmaz gücünü keşfeder. Böylece yakınları tarafından unutulmuş birçok insanla arkadaş olur. Ancak içlerinden bazılarının karanlık tarafa geçmesi işlerin karışmasına neden olur."
The Front Room,Korku,
सिकंदर का मुकद्दर,"Gerilim, Suç, Gizem, Aksiyon",
Des jours plus belles que la nuit,Romantik,
The Platform 2,"Bilim-Kurgu, Korku, Gerilim","Gizemli bir lider, dikey hücrelerden oluşan acımasız bir sistemde kendi kanunlarını dayatırken yeni gelen biri, şaibeli yiyecek dağıtım yöntemine karşı mücadele eder."
The Crow: Ölümsüz,"Aksiyon, Fantastik, Korku","Genç aşıklar Eric ve Shelly, vahşi bir cinayete kurban gider. Gerçek aşkını kurtarmak için kendini feda etme şansını verildiğinde Eric, yanlışları düzeltmek için yaşayanlar ve ölülerin dünyaları arasında gidip geleceği kanlı bir intikam yolculuğuna çıkar."
Bir Zamanlar Noel'de,"Animasyon, Komedi, Aile, Fantastik, Macera","Tarihin en kötü kar fırtınası Wellington Sahili'nde yaşayan kasaba halkının ve Noel Baba'nın planlarını altüst edince, unutulmaz bir Noel yaşanması kaçınılmaz olur."
탈출: 프로젝트 사일런스,"Aksiyon, Gerilim, Korku, Bilim-Kurgu",
Maymunlar Cehennemi: Yeni Krallık,"Bilim-Kurgu, Macera, Aksiyon","Sezar'ın saltanatından yıllar sonra genç bir maymun, kendisine geçmişle ilgili öğretilen her şeyi sorgulamasına ve hem maymunlar hem de insanlar için geleceği tanımlayacak seçimler yapmasına yol açacak bir yolculuğa çıkar."
House of Darkness,"Korku, Gerilim, Komedi, Gizem",
Kaplanlarla Av,"Aksiyon, Gerilim","Parisli genç dümenci Malik, meşhur bir banka soyguncusu olan üvey babası Serge'in suç ortaklarıyla birlikte tutuklandığını öğrenir. Mahkeme sürecinde, sanıklardan Chérif'in avukatı Iris, Malik'ten hem müvekkilini hem de Serge'i kurtarmak için tehlikeli bir soyguna girişmesini ister. Malik, bu riskli operasyonun altından kalkacaksa Chérif'in eski ortaklarını ikna edip bir araya getirmek zorundadır."
Rita (PH),Dram,
Kung Fu Panda 4,"Animasyon, Aile, Fantastik, Aksiyon","Ejderha Savaşçı Po, eşsiz cesareti ve dövüş sanatlarındaki yetenekleriyle kötü adamları alt ettiği üç maceradan sonra yeniden maceraya atılır; Huzur Vadisi'nin ruhani lideri olması için görevlendirilir. Bu da birkaç sorunu ortaya çıkarır. Birincisi, Po'nun ruhani liderlik hakkında bildikleri taş devri diyeti hakkında bildikleri kadardır ve ikincisi ise bu yeni ulu pozisyonunu üstlenmeden önce hızla yeni bir ejderha savaşçı bulması ve eğitmesi gerekiyordur."
물오징어6969,"Komedi, Dram, Romantik",
Classified,"Aksiyon, Gerilim","20 yıldan uzun süredir sahada tek başına çalışan bir CIA tetikçisi, Ajans'tan emir almak için gazetelerin ""Yardım Aranıyor"" bölümünü kullanır. Uzun zamandır kayıp olan kızı, artık bir İngiliz MI6 analisti, şok edici bir haber vermek için onu takip eder: CIA patronu yıllardır ölmüştür ve bölüm çoktan kapanmıştır. Birlikte, kimin emirlerini yerine getirdiğini keşfetmeye koyulurlar."
Gladyatör,"Aksiyon, Dram, Macera","Roma İmparatorluğu'na en parlak dönemi yaşatan General Maximus, girdiği bir meydan savaşından daha zaferle çıkar, artık tek hayali bir an önce evine dönerek karısı ve ailesine kavuşmaktır.  Fakat, zamanın Roma İmparatoru Marcus Aurelius, Maximus'a önemli bir görev verir ve iktidara sahip çıkmasını ister. Bunun üzerine imparatorun oğlu olan Commodus, iktidarın elinden alınacağını anlayınca general ve ailesini öldürme emri verir. Maximus ölümden zor kurtulur ve gladyatörler arenasına sürgün edilir. Yıllar sonra Roma'ya geri dönen güçlü gladyatör Maximus'un tek amacı Commodus'u öldürerek karısı ve oğlunun katledilmesinin intikamını almaktır."
Aşk Dümeni,"Komedi, Romantik",Borç içinde yüzen iki erkek kardeş varlıklı bir kadın vârisi dolandırmak ve Napoli'deki evlerini kurtarmak için bir plan yapar ama aşk devreye girince planları bozulur.
Kirpi Sonic,"Aksiyon, Bilim-Kurgu, Komedi, Aile","Özel güçleri olan Kirpi Sonic, çocuk yaşta kendi dünyasında tehlike altında olduğu için, ona kol kanat geren baykuş Longclaw’ın verdiği sihirli yüzüklerle boyut atlayarak dünyamıza gelir. Bizim dünyamızda kendince bir yuva ve huzur bulduğu halde oldukça yalnızdır. Yaşadığı Green Hills kasabasında şeriflik yapan Tom Wachowski ile tanışan Sonic, kaybettiği sihirli yüzükleri bulmak için Tom ile beraber San Francisco’ya doğru yola çıkar. Ancak bu yolculuk sırasında, peşinde hükemet tarafınan görevlendirilen onu yakalamak ve özel güçlerini kullanmak için arayan kötü bilim adamı Dr. Robotnik ve tehlikeli robotları vardır."
Büyülü Ailem,"Animasyon, Fantastik, Aile, Macera, Komedi","Ebeveynleri güçlü bir büyüyle dev canavarlara dönüşen genç prensesin, çok geç olmadan büyüyü bozmak için hiç bilmediği yerlere doğru bir yolculuk yapması gerekir."
Hızlı ve Öfkeli 10,"Aksiyon, Suç, Gerilim","Birçok görevde ve imkansız şartlar altında, Dom Toretto ve ailesi yolundaki her düşmanı kurnazlıkla, cesaretle ve sürüş becerileriyle alt ettiler. Şimdiyse, geçmişin gölgelerinden çıkan kan intikamıyla güçlenmiş ve Dom'un sevdiği her şeyi ve herkesi sonsuza dek yok etmeye kararlı dehşet verici bir tehditle karşı karşıyalar - hayatlarının en ölümcül düşmanıyla."
Siyah Kanarya,"Aksiyon, Gerilim, Suç","Üst düzey CIA ajanı Avery Graves, kaçırılan kocasını kurtarmak için kendi ülkesine ihanet etmesi için teröristler tarafından şantaja uğrar. Ekibinden koparılan Graves, hayatta kalmak ve kaçıranların istediği istihbaratı bulmaya yardım etmek için yeraltı dünyasındaki bağlantılarına başvurur."
Konsey,Dram,"Kardinal Lawrence, yeni bir Papa seçerek dünyanın en gizli ve kadim olaylarından birine liderlik etmekle görevlendirilir. Katolik Kilisesi'nin dünyanın dört bir yanından en güçlü liderleri bir araya toplanıp Vatikan salonlarında bir araya kilitlendiğinde, Lawrence kendisini bir komplonun ortasında bulur ve Kilise'nin temellerini sarsabilecek bir sırrı keşfeder."
Death Note Relight 2: L's Successors,"TV film, Gerilim, Animasyon, Suç, Dram, Fantastik",
Buffalo Kids,"Animasyon, Macera, Komedi, Aile",
My Fault: London,"Romantik, Dram",
